time_elapsed,explained_variance,clip_range,value_loss,entropy,fps,total_timesteps,iterations,std,ep_reward_mean,policy_loss
407717.0,0.9612176679074764,0.1,9.644956,0.78582937,59.0,24166400.0,1475.0,0.5355252,0.4006111463958418,0.009668279
407974.0,0.9788040444254876,0.1,16.976149,0.7870523,59.0,24182784.0,1476.0,0.5361317,0.391904576908617,0.00046114437
408266.0,0.965070977807045,0.1,13.961507,0.7886249,59.0,24199168.0,1477.0,0.53710395,0.3890828932032255,0.0060585667
408570.0,0.965929001569748,0.1,34.625195,0.78945875,59.0,24215552.0,1478.0,0.5376174,0.3890920881559743,-0.0008110481
408838.0,0.957375030964613,0.1,13.690765,0.789208,59.0,24231936.0,1479.0,0.537359,0.3861439366020557,0.0025675306
409117.0,0.970449661836028,0.1,14.137653,0.7864606,59.0,24248320.0,1480.0,0.5357996,0.3827694076298744,0.0007384353
409343.0,0.9684758558869362,0.1,6.7951565,0.7871733,59.0,24264704.0,1481.0,0.53614414,0.3781594742490671,0.0027274247
409609.0,0.9568239413201808,0.1,12.217693,0.7863946,59.0,24281088.0,1482.0,0.5357815,0.374664875714965,0.0018787817
409896.0,0.9649863131344318,0.1,16.756516,0.7923276,59.0,24297472.0,1483.0,0.53893447,0.3776596094409844,0.011959832
410171.0,0.9719140212982892,0.1,24.10919,0.7943553,59.0,24313856.0,1484.0,0.54010487,0.3735126717703318,-0.0036257934
410448.0,0.9632195383310318,0.1,9.318052,0.7958541,59.0,24330240.0,1485.0,0.5409825,0.3758111099961115,0.0022488218
410730.0,0.9724365212023258,0.1,22.741074,0.7962577,59.0,24346624.0,1486.0,0.54133284,0.3808083678057441,0.00036616065
411007.0,0.9660634882748128,0.1,23.269478,0.7971627,59.0,24363008.0,1487.0,0.54166377,0.3804342482712458,-0.010289215
411297.0,0.9710794426500796,0.1,19.990719,0.7995409,59.0,24379392.0,1488.0,0.5428721,0.3748823573635003,-0.0029506637
